Nº,Categoria,Cargo,Empresa,Local,País,Tipo,Seniority,Match,Canal,Data_Candidatura,Etapa,Resposta,Notas_Processo,URL,Keywords_JD
28,Design Director,Design Director,Nubank,Miami FL,EUA,Management,Director,Alto,LinkedIn Apply,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-director-at-nubank-4334707981,"Design Leadership · Design Systems · Product Design · Fintech · LATAM · Inglês/Português · Team Building · Stakeholders · Strategy"
29,Design Director,Director of Product Design,Duolingo,New York NY,EUA,Management,Director,Médio,,,Mapeado,,,https://www.linkedin.com/jobs/view/director-of-product-design-at-duolingo-4367608986,"Design Leadership · People Management · Product Strategy · Cross-functional · Hiring · Manager of Managers · 10+ years"
30,Design Director,Director of Product Design (Inventory),Etsy,Brooklyn NY,EUA,Management,Director,Médio,,,Mapeado,,,https://www.linkedin.com/jobs/view/director-of-product-design-inventory-at-etsy-4375439337,"Design Leadership · Ecommerce · Product Design · Team Management · Cross-functional · Data-driven"
31,Design Director,Design Director,Tenstorrent,Remote (US),EUA,Management,Director,Alto,,,Arquivado,N,Não aparece nos 116 postings ativos no Greenhouse (verificado 2026-04-23),https://www.linkedin.com/jobs/view/design-director-at-tenstorrent-4373631828,"Design Leadership · Tech Company · Hardware/Software · Brand · Product Design · Remote"
32,Design Director,Design Director (Design System & Visual Experience),OKX,San Jose CA,EUA,Management,Director,Alto,,,Arquivado,N,Removida; substituída por listing em Singapura (verificado 2026-04-23),https://www.linkedin.com/jobs/view/design-director-design-system-and-visual-experience-at-okx-4308897137,"Design Systems · Visual Design · Art Direction · Team Leadership · Product Design · Fintech · Web3 · Executive Presence"
33,Design Director,Director of Product Design,23andMe,Palo Alto CA,EUA,Management,Director,Médio,,,Mapeado,,,https://www.linkedin.com/jobs/view/director-product-design-at-23andme-4359885143,"Product Design · Health Tech · Team Leadership · Design Strategy · Cross-functional"
34,Design Director,Head of Design & UX,SPREEAI,New York NY,EUA,Management,Director,Médio,,,Arquivado,N,Não aceita mais candidaturas (verificado 2026-04-23),https://www.linkedin.com/jobs/view/head-of-design-ux-at-spreeai-4377467138,"Design Leadership · UX · AI · Head of Design · Startup · Brand + Product"
35,Design Director,Head of Design,Trust & Will,San Diego CA,EUA,Management,Director,Médio,,,Verificar,,Listing não encontrado via web 19/mar,https://www.linkedin.com/jobs/view/head-of-design-at-trust-will-4366945209,"Design Leadership · Fintech · UX/UI · Brand · Head of Design · Startup"
36,Design Director,Director Design (Remote),Risepoint,Remote (US),EUA,Management,Director,Médio,,,Arquivado,N,Não aceita mais candidaturas (verificado 2026-04-23),https://www.linkedin.com/jobs/view/director-design-at-risepoint-4328988431,"Design Leadership · EdTech · Brand · Product · Remote · Strategy"
37,Design Director,Senior UX Designer (era Design Director),Variate,Remote (US),EUA,IC,Senior,Médio,,,Mapeado,,Cargo mudou de Design Director para Sr UX Designer ($100-120k),https://www.linkedin.com/jobs/view/design-director-ux-ui-brand-remote-us-based-full-time-at-variate-4374110971,"UX · UI · Brand · Design Director · Full-time · Remote"
38,Design Director,Director of Product Design,Raptor Technologies,Houston TX,EUA,Management,Director,Médio,,,Mapeado,,,https://www.linkedin.com/jobs/view/director-product-design-at-raptor-technologies-4378640724,"Product Design · EdTech/Safety · Team Leadership · Design Strategy · B2B SaaS"
39,Design Director,Design Director (Brand Design),Uber,San Francisco CA,EUA,Management,Director,Médio,,,Verificar,,Listing não confirmado via web 19/mar,https://www.linkedin.com/jobs/view/design-director-brand-design-at-uber-4314481902,"Brand Design · Art Direction · Creative Direction · Design Systems · Team Leadership · Global Scale"
40,Design Director,Head of Design,Vitório,São Paulo SP,Brasil,Management,Head,Alto,,,Arquivado,N,Vaga encerrada,https://br.linkedin.com/jobs/view/head-of-design-at-vit%C3%B3rio-4372499895,"Design Leadership · Head of Design · Brasil · São Paulo · Produto"
41,Design Director,AI Creative Director,Superside,Brasil (Remote),Brasil,Management,Director,Médio,,,Mapeado,,,https://br.linkedin.com/jobs/view/ai-creative-director-at-superside-4372867118,"AI · Creative Direction · Remote · Brand · Design Leadership · Global"
42,Senior IC Brasil,Product Designer Sênior,Inter,Belo Horizonte MG,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://br.linkedin.com/jobs/view/product-designer-s%C3%AAnior-at-inter-4374264751,"Product Design · Fintech · Design Systems · UX · Sênior · BH"
43,Senior IC Brasil,Product Designer Sênior (Cartões),PicPay,São Paulo SP,Brasil,IC,Senior,Alto,LinkedIn Apply,2026-03-05,Aplicado,,,https://br.linkedin.com/jobs/view/product-designer-s%C3%AAnior-cart%C3%B5es-at-picpay-4366686273,"Product Design · Fintech · Payments · Design Systems · Sênior · SP"
44,Senior IC Brasil,Senior Product Designer,Hotmart,Belo Horizonte MG,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://br.linkedin.com/jobs/view/senior-product-designer-at-hotmart-4313803030,"Product Design · EdTech · SaaS · Creator Economy · Design Systems · Sênior"
45,Senior IC Brasil,Senior Product Designer (Design Systems),Xometry,São Paulo SP,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://br.linkedin.com/jobs/view/senior-product-designer-design-systems-at-xometry-4374632577,"Design Systems · Product Design · B2B · Manufacturing Tech · Tokens · Component Library"
46,Senior IC Brasil,Senior Product Designer,MB | Mercado Bitcoin,São Paulo SP,Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga encerrada,https://br.linkedin.com/jobs/view/senior-product-designer-at-mb-mercado-bitcoin-4370698929,"Product Design · Fintech · Crypto · Design Systems · Sênior"
47,Senior IC Brasil,Product Designer Sênior (Afirmativa PPI),Itaú Unibanco,São Paulo SP,Brasil,IC,Senior,Médio,,,Arquivado,N,Vaga afirmativa PPI — não elegível,https://br.linkedin.com/jobs/view/product-designer-s%C3%AAnior-afirmativa-para-pessoas-pretas-e-pardas-at-it%C3%A3o-unibanco-4211051061,"Product Design · Fintech · Banking · Design Systems · Afirmativa"
48,Senior IC Brasil,Senior Product Designer (Internal Tools),DoorDash,São Paulo SP,Brasil,IC,Senior,Alto,Portal,2026-03-19,Aplicado,,Cover letter pronta,https://job-boards.greenhouse.io/doordashinternational/jobs/7187420,"Product Design · Internal Tools · B2B · Remote · Global Company · Inglês obrigatório"
49,Senior IC Brasil,Product Designer Sr.,MadeiraMadeira,Brasil (Remote),Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/product-designer-sr-at-madeiramadeira-4371577250,"Product Design · Ecommerce · Design Systems · Remote · Brasil"
50,Senior IC Brasil,Senior Product Designer,Donorbox,São Paulo SP,Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/senior-product-designer-at-donorbox-4377508644,"Product Design · Nonprofit Tech · SaaS · Remote · Inglês obrigatório"
51,Senior IC Brasil,Senior Product Designer,Deel,Brasil (Remote),Brasil,IC,Senior,Alto,,,Arquivado,N,Vaga mudou para EMEA remote — não específico Brasil · Não aceita mais candidaturas (verificado 2026-04-23),https://br.linkedin.com/jobs/view/senior-product-designer-at-deel-4298629584,"Product Design · HR Tech · Global · Remote · Design Systems · Inglês obrigatório"
52,Senior IC Brasil,Senior UX Product Designer,Thomson Reuters Brasil,São Paulo SP,Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/senior-ux-product-designer-at-thomson-reuters-brasil-4345353171,"UX · Product Design · Legal Tech · Enterprise · Design Systems · Inglês"
53,Senior IC Brasil,Product Designer Sênior,Toro Investimentos,São Paulo SP,Brasil,IC,Senior,Alto,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/product-designer-s%C3%AAnior-at-toro-investimentos-4369150007,"Product Design · Fintech · Investments · Design Systems · Sênior"
54,Senior IC Brasil,Senior Product Designer,Woba,Brasil (Remote),Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/senior-product-designer-at-woba-4368759360,"Product Design · PropTech · Workplace · Remote · Design Systems"
55,Senior IC Brasil,Senior Product Designer (Remote - LATAM),Jobgether,Brasil (Remote),Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/senior-product-designer-remote-from-brazil-at-jobgether-4377083374,"Product Design · Remote · LATAM · Inglês · Contrato"
56,Senior IC Brasil,Senior Product Designer (Remote LATAM),FullStack Labs,São Paulo SP,Brasil,IC,Senior,Médio,LinkedIn Apply,2026-03-19,Aplicado,,,https://br.linkedin.com/jobs/view/senior-product-designer-6-8-month-long-remote-latin-america-at-fullstack-4370566122,"Product Design · Remote · LATAM · Contrato 6-8 meses · Inglês"
57,Remotive,Senior Design Engineer (Product),Buildkite,Remote (Global),Global,IC,Senior,Alto,Portal,2026-04-14,Aplicado,,Brand & Design team — React · Tailwind · Vite · Figma,https://remotive.com/remote/jobs/design/senior-design-engineer-product-3844512,"Design Engineer · Product · Remote · CI/CD DevTools · Design Systems · Figma · React · Tailwind · Vite"
58,Remotive,Engineering Manager (Design Systems),Fullscript,Canada (Remote),Global,Management,Manager,Alto,,,Arquivado,N,Remotive 404 (duplicata do #92 que também fechou),https://remotive.com/remote/jobs/design/engineering-manager-design-systems-3847753,"Design Systems · Engineering Manager · Remote · Health Tech · Component Library"
59,Remotive,Senior Director of Product Design,Pearl,EUA (Remote),Global,Management,Director,Médio,,,Mapeado,,,https://remotive.com/remote/jobs/design/senior-director-product-design-3851854,"Product Design · Director · Remote · Design Leadership · Senior Director"
60,Remotive,Head of Design,Midnite,UK (Remote),Global,Management,Head,Médio,,,Arquivado,N,Workable: no longer accepting applications (verificado 2026-04-23),https://remotive.com/remote/jobs/design/head-of-design-3853125,"Head of Design · Gaming · Sports Betting · UK Remote · Design Leadership"
61,Remotive,Staff Designer (Web & Brand),Spoke,UK (Remote),Global,IC,Staff,Médio,,,Mapeado,,,https://remotive.com/remote/jobs/design/staff-designer-web-brand-3852719,"Staff Designer · Web · Brand · £110k · UK · Remote"
62,Games / Platform,Product Designer (Creator Tools),Roblox,San Mateo CA / Remote,Global,IC,Senior,Alto,,,Pesquisar,,,https://careers.roblox.com,"Product Design · Creator Economy · Platform UX · Design Systems · Figma"
63,Games / Platform,UX Designer (Developer Tools — Editor),Unity Technologies,San Francisco CA / Remote,Global,IC,Senior,Alto,,,Pesquisar,,,https://unity.com/careers,"UX Design · Developer Tools · Game Engine · Editor UX · Design Systems · B2B"
64,Games / Platform,Product Designer (Unreal / Fab Marketplace),Epic Games,Cary NC / Remote,Global,IC,Senior,Alto,,,Pesquisar,,,https://www.epicgames.com/site/en-US/careers,"Product Design · Marketplace · Game Engine · Developer Tools · UX"
65,Games / Platform,UX Designer (EA App / Platform),Electronic Arts,Redwood City CA,EUA,IC,Senior,Médio,,,Pesquisar,,,https://jobs.ea.com,"Product Design · Platform UX · Gaming · Console · PC · Design Systems"
66,Games / Platform,UX Designer (League Client / Esports Tools),Riot Games,Los Angeles CA / Remote,EUA,IC,Senior,Alto,,,Pesquisar,,,https://www.riotgames.com/en/work-with-us,"UX Design · Client UI · Esports Platform · Design Systems · Figma"
67,Games / Platform,Senior Product Designer (Games Platform),Roblox,San Mateo CA,EUA,Management,Director,Alto,,,Pesquisar,,,https://careers.roblox.com,"Design Leadership · Creator Platform · Head/Director · Design Systems"
68,Games / Platform,Design Director / Head of Design,Unity Technologies,San Francisco CA / Remote,Global,Management,Director,Alto,,,Pesquisar,,,https://unity.com/careers,"Design Leadership · Developer Tools · Director · Head of Design"
69,Senior IC Brasil,Product Designer Sênior,Vivo (Telefônica Brasil),Brasil (Remote),Brasil,IC,Senior,Médio,Portal (Gupy),2026-03-03,Aplicado,,,https://vivodigital.gupy.io/jobs/10910257,"Product Design · UX Research · Figma · Design Systems · Omnichannel · Design Thinking · Telecomunicações · Remote",
70,Senior IC Brasil,Lead Product Designer,Ilegra,Brasil (Remote),Brasil,IC,Staff,Alto,Portal,2026-03-03,Aplicado,,,https://vagas.ilegra.com/vacancy/2DGPN,"Product Design · Design Systems Enterprise · CSS · Tailwind · Human-AI UX · WCAG · Documentação de Design · OOUX · Inglês obrigatório · Remote",
71,Senior IC Brasil,Product Design Lead | UX,BTG Pactual,São Paulo SP,Brasil,IC,Lead,Alto,Portal,2026-03-05,Arquivado,N,,https://carreiras.btgpactual.com/vagas/tech-ux/product-design-lead-ux/5797568004,"UX Design · Product Design · Design Systems · Data-driven · Fintech · Investments · Leadership · Web Analytics · Híbrido · Faria Lima"
72,Senior IC Brasil,UX/UI Project Leader - Investimentos,Mercado Pago (Mercado Livre),Osasco SP,Brasil,IC,Lead,Alto,Portal (Eightfold),2026-03-05,Aplicado,,,https://mercadolibre.eightfold.ai/careers?la=pt&query=113461&start=0&pid=39807912&sort_by=relevance,"UX Design · UI Design · Product Design · Fintech · Investments · Data-driven · Information Architecture · LATAM · Híbrido"
73,Senior IC Brasil,Senior Product Designer,Deel,Brasil (Remote),Global,IC,Senior,Alto,Portal (Ashby),2026-03-05,Recusado,S,,https://www.deel.com/careers/position/?ashby_jid=86b441c4-9ed5-470e-81a1-ff7263ef0c94,"Product Design · UX/UI · Design Systems · B2B SaaS · AI · HR Tech · Global · Remote · End-to-end design"
74,Senior IC Brasil,Staff Product Designer,Nubank,USA (Remote),EUA,IC,Staff,Alto,,,Mapeado,,,https://job-boards.greenhouse.io/nubank/jobs/6782584,"Product Design · UX/UI · Research · Design Systems · Cross-functional · Fintech · Remote · Agile"
75,Senior IC Brasil,Technical Lead Product Designer (AI Private Banker),Nubank,"Durham / Miami / Palo Alto",EUA,IC,Lead,Médio,,,Mapeado,,,https://job-boards.greenhouse.io/nubank/jobs/7383059,"Product Design · AI · Fintech · Design Systems · UX/UI · Banking · Hybrid · English"
76,Senior IC Brasil,Technical Lead Product Designer (Crypto),Nubank,São Paulo SP,Brasil,IC,Lead,Alto,Portal,2026-03-19,Aplicado,,Cover letter pronta,https://job-boards.greenhouse.io/nubank/jobs/7663296,"Product Design · Crypto · Design Systems · Accessibility · UX/UI · Fintech · Hybrid · English · 6+ years"
77,Design Systems,Specialist Designer - Design Systems (Motion),ID.me,Redwood City CA,EUA,IC,Senior,Alto,Portal,2026-04-10,Aplicado,,Local atualizado: era Mountain View — agora Redwood City/San Mateo,https://job-boards.greenhouse.io/idme/jobs/7533701003,"Motion Design Systems · Animation · Easing · Timing · Figma · After Effects · Lottie · CSS Transitions · Accessibility · prefers-reduced-motion · $200k-$250k"
78,Design Engineer,UX Engineer (Chrome AI Innovation),Google,Seattle WA,EUA,IC,Mid,Alto,,,Mapeado,,,https://www.google.com/about/careers/applications/jobs/results/?category=USER_EXPERIENCE,"UX Engineer · Chrome · AI · HTML/CSS/JS · React · Prototyping · Design Systems · Frontend Engineering"
79,Design Engineer,Senior UX Engineer (Chrome AI Innovation),Google,Seattle WA,EUA,IC,Senior,Alto,,,Mapeado,,,https://www.google.com/about/careers/applications/jobs/results/?category=USER_EXPERIENCE,"UX Engineer · Chrome · AI · HTML/CSS/JS · React · Prototyping · Design Systems · Frontend Engineering · Senior"
80,Design Engineer,Interaction Designer (YouTube Brand Deals),Google,San Bruno CA,EUA,IC,Mid,Alto,,,Mapeado,,,https://www.google.com/about/careers/applications/jobs/results/?category=USER_EXPERIENCE,"Interaction Design · YouTube · Product Design · Visual Design · Figma · Design Systems"
81,Design Engineer,Senior Interaction Designer (YouTube Main App),Google,San Bruno CA,EUA,IC,Senior,Alto,,,Mapeado,,,https://www.google.com/about/careers/applications/jobs/results/?category=USER_EXPERIENCE,"Interaction Design · YouTube · Product Design · Visual Design · Figma · Design Systems · Senior"
82,Senior IC Brasil,Senior Design Lead,Work & Co (Accenture Song),São Paulo SP,Brasil,IC,Senior,Alto,Portal,2026-03-19,Aplicado,,,https://work.co/careers/design/sao-paulo/senior-design-lead/,"Product Design · Digital Products · Strategy · Prototyping · UX · Inglês fluente · Mentoring · Collaborative · Onsite SP"
83,Design Engineer,Senior Design Engineer,Aave Labs,Remote (US),EUA,IC,Senior,Alto,Portal,2026-04-14,Aplicado,,,https://aave.com/careers/senior-design-engineer-c3a6f00b-41ee-4b63-ae9b-0a86891b1faa,"React · TypeScript · SCSS · Design Systems · Component Library · DeFi · Web3"
84,Design Systems,Senior Product Designer (Design System),Zeta Global,Remote (US),EUA,IC,Senior,Alto,Portal,2026-04-14,Aplicado,,,https://jobgether.com/offer/6999c1dfda7696de2f5a82c8-senior-product-designer-design-system,"Design Tokens · Figma · React · Component Architecture · Agentic AI · Zeta Developer Platform · $160-180k"
85,Design Engineer,Staff Design Engineer / Technical Lead (Design Systems),Eventbrite,Remote (US),EUA,IC,Staff,Alto,,,Arquivado,N,Vaga encerrada 2026-04-23,https://www.eventbritecareers.com/jobs/staff-design-engineer-technical-lead-design-systems-remote-united-states,"React · Design Tokens · Style Dictionary · Storybook · SCSS · CSS Modules · Figma Plugins · Marmalade DS"
86,Design Systems,Senior Product Designer (GenAI Marketplace),Scale AI,San Francisco CA,EUA,IC,Senior,Alto,,,Arquivado,N,Sumiu das 176 vagas ativas em scale.com/careers (verificado 2026-04-23),https://scale.com/careers/4490106005,"AI · Design Systems · GenAI · LLM · Contributor Experience · OpenAI/Meta/Microsoft clients"
87,Design Systems,Senior Product Designer (Design Systems),Novo,New York NY / Miami FL,EUA,IC,Senior,Alto,,,Mapeado,,,https://boards.greenhouse.io/novo/jobs/5363084004,"Fintech · Design Systems · Series B · Web + Mobile · Small Business · Scalability"
88,Design Engineer,Senior Product Designer,Uniswap Labs,New York NY / Remote,EUA,IC,Senior,Alto,,,Mapeado,,,https://careers.uniswap.org/,"DeFi · Crypto · Design Systems · HCI · Decentralized Finance · $172-265k"
89,Senior IC Brasil,Senior Product Designer (Fintech),Darwoft,Remote (LATAM),Brasil,IC,Senior,Médio,,,Mapeado,,Pagamento em USD,https://designproject.io/jobs/jobs/961-senior-product-designer-fintech-remote-latam-at-darwoft-604f1p,"Fintech · LATAM · Data-driven · Agile · Design Systems · $45-70k USD"
90,Design Systems,Senior Product Designer,Resident,Remote (US),EUA,IC,Senior,Médio,,,Arquivado,N,designremotejobs.com 404 (verificado 2026-04-23),https://www.designremotejobs.com/job/resident-senior-product-designer,"E-commerce · Design Systems · Figma · A/B Testing · Multi-brand · $120-140k"
91,Design Engineer,Senior Product Designer,XXIX,Remote (Worldwide),Global,IC,Senior,Médio,,,Arquivado,N,Agency/contract — Nike/Adobe/GE clients · Remotive 404 (verificado 2026-04-23),https://remotive.com/remote-jobs/design/senior-product-designer-2088647,"Agency · Contract · Product Design · Branding · Engineering · $80-120k"
92,Design Director,Engineering Manager (Design Systems),Fullscript,Canada (Remote),Global,Management,Manager,Alto,,,Mapeado,,,https://jobs.lever.co/fullscript/91a5eef5-4efc-4a8d-937d-c411f886eb4a,"React · React Native · Design Systems · Health Tech · AI workflows · Token Architecture · Accessibility"
93,Design Director,Design Manager,Vivo (Telefônica Brasil),São Paulo SP,Brasil,Management,Manager,Alto,Portal (Gupy),2026-03-25,Arquivado,N,,https://vivodigital.gupy.io/jobs/10833632,"Design Management · Design Systems · UX/UI · UX Research · Product Design · Data-driven · Agile · Telecomunicações · Híbrido"
